fact_id,LLaMA3-8B,LLaMA3-3B-Instruct,LLaMA3-1B-Instruct,LLaMA3-1B,LLaMA3-3B,LLaMA3-8B-Instruct
"Archduke Leopold of Austria, Prince of Tuscany -> Archduke Leopold Salvator of Austria",75.0,100.0,100.0,80.0,0.0,100.0
Archibald Thomas Pechey -> lyricist,85.71428571428571,75.0,75.0,75.0,25.0,37.5
Archie Needham -> association football,83.33333333333334,100.0,100.0,100.0,50.0,100.0
Archive -> progressive rock,75.0,100.0,100.0,66.66666666666666,37.5,75.0
Are You Here -> Matthew Weiner,100.0,100.0,100.0,87.5,37.5,100.0
Are You Now or Have You Ever Been -> Tim Minear,90.0,100.0,100.0,90.0,10.0,90.0
Arena -> Fredric Brown,100.0,100.0,100.0,42.857142857142854,75.0,87.5
Arivaldo Alves dos Santos -> association football,75.0,75.0,100.0,25.0,0.0,75.0
Arkansas -> Little Rock,83.33333333333334,100.0,100.0,100.0,83.33333333333334,100.0
Armand Raymond -> ice hockey,100.0,100.0,100.0,40.0,37.5,62.5
Armenia -> Yerevan,100.0,100.0,100.0,0.0,70.0,80.0
Army -> Keisuke Kinoshita,100.0,100.0,100.0,100.0,100.0,100.0
Arnaldo Ribeiro -> Catholic Church,83.33333333333334,100.0,66.66666666666666,40.0,33.33333333333333,83.33333333333334
Around the World -> Cole Porter,100.0,100.0,100.0,50.0,50.0,100.0
Ars -> Jacques Demy,50.0,100.0,100.0,50.0,50.0,100.0
Arsenal -> Oleksandr Dovzhenko,100.0,100.0,100.0,40.0,33.33333333333333,66.66666666666666
Arsenal F.C. -> red,100.0,100.0,50.0,50.0,50.0,50.0
Arsenal Fútbol Club -> red,50.0,100.0,50.0,33.33333333333333,50.0,100.0
Arthur Thomson -> Edinburgh,100.0,87.5,75.0,80.0,50.0,87.5
Arthur W. Rice -> architect,100.0,50.0,50.0,100.0,50.0,50.0
Artur Marciniak -> association football,100.0,100.0,100.0,0.0,100.0,50.0
Arturo Tabera Araoz -> Catholic Church,87.5,100.0,100.0,33.33333333333333,37.5,75.0
As One -> Cantopop,37.5,87.5,75.0,12.5,12.5,50.0
As You Like It -> Kenneth Branagh,83.33333333333334,100.0,100.0,66.66666666666666,0.0,100.0
Asher -> Jacob,50.0,100.0,87.5,0.0,0.0,100.0
Aspects of the Theory of Syntax -> Noam Chomsky,100.0,100.0,100.0,100.0,50.0,75.0
Assumption -> Samuel Beckett,100.0,100.0,100.0,100.0,75.0,50.0
Assumption College for Sisters -> Catholic Church,100.0,100.0,100.0,80.0,16.666666666666664,83.33333333333334
Aston Villa F.C. -> sky blue,75.0,100.0,75.0,75.0,50.0,87.5
Astraea -> Themis,0.0,100.0,100.0,0.0,100.0,100.0
At This Moment -> country music,75.0,100.0,100.0,16.666666666666664,28.57142857142857,87.5
Atlanta Symphony Orchestra -> Western classical music,75.0,100.0,100.0,12.5,50.0,62.5
Atlético de Madrid -> red,100.0,100.0,100.0,100.0,100.0,50.0
Atsushi Kaneko -> mangaka,50.0,75.0,50.0,33.33333333333333,30.0,50.0
Atë -> Zeus,100.0,100.0,100.0,0.0,0.0,100.0
August -> Anthony Hopkins,75.0,100.0,100.0,75.0,50.0,75.0
August Brand -> Berlin,100.0,83.33333333333334,66.66666666666666,50.0,66.66666666666666,66.66666666666666
Aung San Suu Kyi -> Buddhism,100.0,100.0,100.0,100.0,100.0,100.0
Austin Cuvillier -> Quebec City,100.0,100.0,50.0,0.0,0.0,100.0
Australian Capital Territory -> Canberra,50.0,75.0,100.0,100.0,33.33333333333333,75.0
Australian Football League Draft -> Australian rules football,100.0,75.0,100.0,25.0,50.0,75.0
Austria -> Vienna,100.0,100.0,100.0,100.0,50.0,100.0
Austrian Empire -> Catholic Church,83.33333333333334,100.0,83.33333333333334,66.66666666666666,50.0,100.0
Austrian Empire -> Vienna,100.0,100.0,100.0,0.0,100.0,100.0
Aval Appadithan -> Ilaiyaraaja,100.0,100.0,100.0,100.0,100.0,100.0
Averett University -> Baptists,100.0,100.0,100.0,100.0,25.0,100.0
Avery -> United States of America,100.0,100.0,100.0,16.666666666666664,83.33333333333334,100.0
Axis -> Robert Charles Wilson,87.5,100.0,62.5,50.0,37.5,50.0
Ayumi Hamasaki -> lyricist,100.0,100.0,50.0,100.0,0.0,100.0
Azhagi -> Thangar Bachan,100.0,100.0,100.0,33.33333333333333,50.0,75.0
Azhimukham -> Baburaj,100.0,100.0,100.0,80.0,16.666666666666664,50.0
Azure -> Duke Ellington,100.0,100.0,100.0,50.0,50.0,80.0
Babyface -> Indianapolis,100.0,100.0,87.5,0.0,25.0,87.5
Back to Back -> country music,75.0,50.0,100.0,75.0,0.0,75.0
Back to School -> Danny Elfman,100.0,100.0,100.0,83.33333333333334,66.66666666666666,66.66666666666666
Back to the Future -> Robert Zemeckis,100.0,100.0,100.0,83.33333333333334,33.33333333333333,83.33333333333334
Bae Geu-rin -> actor,100.0,50.0,33.33333333333333,0.0,37.5,37.5
Bajazet -> Antonio Vivaldi,100.0,100.0,100.0,75.0,75.0,87.5
Baker University -> United Methodist Church,83.33333333333334,100.0,100.0,0.0,0.0,66.66666666666666
Bala -> film director,66.66666666666666,100.0,100.0,100.0,50.0,62.5
Balika Badhu -> Rahul Dev Burman,100.0,100.0,100.0,100.0,100.0,100.0
Bangladesh -> Dhaka,100.0,100.0,100.0,100.0,100.0,100.0
Banjo-Kazooie -> platform game,75.0,75.0,100.0,66.66666666666666,0.0,75.0
Banning -> Quincy Jones,66.66666666666666,100.0,100.0,33.33333333333333,50.0,83.33333333333334
Barbara -> Christian Petzold,100.0,100.0,100.0,0.0,100.0,50.0
Barbara Harris -> Philadelphia,100.0,100.0,50.0,,50.0,50.0
Barbu Ștefănescu Delavrancea -> Bucharest,100.0,100.0,100.0,,40.0,90.0
Barcelona -> Freddie Mercury,83.33333333333334,100.0,100.0,66.66666666666666,33.33333333333333,83.33333333333334
Barrie Aitchison -> association football,100.0,100.0,100.0,50.0,0.0,50.0
Basement -> Topel Lee,100.0,100.0,75.0,50.0,50.0,75.0
Baton Haxhiu -> journalist,75.0,50.0,100.0,75.0,50.0,50.0
Batsère -> France,100.0,100.0,100.0,25.0,33.33333333333333,83.33333333333334
Bazaar -> Sagar Sarhadi,100.0,100.0,50.0,25.0,50.0,50.0
Be Cool -> Danny DeVito,100.0,75.0,75.0,25.0,50.0,100.0
Be Yourself! -> musical film,75.0,50.0,100.0,25.0,0.0,75.0
Bean -> Rowan Atkinson,100.0,100.0,100.0,50.0,50.0,100.0
Beautiful -> Anoop Menon,100.0,100.0,87.5,25.0,62.5,75.0
Beautiful Darling -> documentary film,100.0,75.0,100.0,25.0,0.0,75.0
Bede -> Christianity,90.0,100.0,100.0,50.0,0.0,60.0
Bee Movie -> Jerry Seinfeld,100.0,100.0,100.0,100.0,100.0,100.0
Before and After -> Barbet Schroeder,30.0,100.0,80.0,70.0,30.0,50.0
Beiyang Government -> Beijing,100.0,100.0,100.0,0.0,50.0,100.0
Belarus -> Minsk,100.0,100.0,100.0,100.0,66.66666666666666,66.66666666666666
Belgium -> City of Brussels,100.0,100.0,100.0,57.14285714285714,87.5,87.5
Belgrade Oblast -> Belgrade,100.0,100.0,100.0,0.0,0.0,100.0
Believe Me -> Mike Shinoda,100.0,100.0,100.0,50.0,50.0,75.0
